crawl,top-k,No robots.txt capture,HTTP forbidden,HTTP defer visits,HTTP allow all,HTTP redirect not resolved,MIME not a robots.txt,Robots.txt no rules,Robots.txt with rules,dt
CC-MAIN-2016-36,1k,444,8,1,49,171,14,12,301,2016-09-05
CC-MAIN-2017-09,1k,332,11,2,56,193,20,17,369,2017-02-27
CC-MAIN-2017-34,1k,351,7,0,50,376,8,8,200,2017-08-21
CC-MAIN-2018-09,1k,344,8,3,50,375,11,6,203,2018-02-26
CC-MAIN-2018-34,1k,316,8,2,61,389,11,7,206,2018-08-20
CC-MAIN-2019-09,1k,345,5,3,59,374,7,7,200,2019-02-25
CC-MAIN-2019-35,1k,351,5,1,60,376,8,8,191,2019-08-26
CC-MAIN-2020-05,1k,329,8,3,68,20,26,13,533,2020-01-27
CC-MAIN-2020-10,1k,334,9,2,69,22,22,14,528,2020-03-02
CC-MAIN-2020-16,1k,326,11,2,75,19,27,16,524,2020-04-13
CC-MAIN-2020-24,1k,325,10,4,73,19,25,15,529,2020-06-08
CC-MAIN-2020-29,1k,320,12,1,78,19,25,14,531,2020-07-13
CC-MAIN-2020-34,1k,310,13,1,77,21,28,14,536,2020-08-17
CC-MAIN-2020-40,1k,321,9,2,71,22,24,15,536,2020-09-28
CC-MAIN-2020-45,1k,314,8,1,73,20,32,15,537,2020-11-02
CC-MAIN-2020-50,1k,316,13,2,69,17,28,13,542,2020-12-07
CC-MAIN-2021-04,1k,314,8,3,69,18,27,14,547,2021-01-25
CC-MAIN-2021-10,1k,312,10,2,68,16,32,15,545,2021-03-08
CC-MAIN-2021-17,1k,321,12,4,62,13,27,15,546,2021-04-26
CC-MAIN-2021-21,1k,307,8,2,67,19,26,18,553,2021-05-24
CC-MAIN-2021-25,1k,311,14,3,65,17,29,16,545,2021-06-21
CC-MAIN-2021-31,1k,324,11,3,68,46,0,15,533,2021-08-02
CC-MAIN-2021-39,1k,314,16,2,68,45,0,15,540,2021-09-27
CC-MAIN-2021-43,1k,332,9,2,63,44,0,16,534,2021-10-25
CC-MAIN-2021-49,1k,309,16,3,78,39,0,16,539,2021-12-06
CC-MAIN-2022-05,1k,324,9,2,64,45,0,16,540,2022-01-31
CC-MAIN-2022-21,1k,305,7,2,71,51,0,14,550,2022-05-23
CC-MAIN-2022-27,1k,332,10,3,65,44,0,13,533,2022-07-04
CC-MAIN-2022-33,1k,345,7,9,70,52,0,14,503,2022-08-15
CC-MAIN-2022-40,1k,349,8,4,62,48,0,12,517,2022-10-03
CC-MAIN-2022-49,1k,358,8,3,73,46,0,11,501,2022-12-05
CC-MAIN-2023-06,1k,370,6,4,62,45,0,12,501,2023-02-06
CC-MAIN-2023-14,1k,345,10,4,73,39,0,13,516,2023-04-03
CC-MAIN-2023-23,1k,376,8,6,66,51,0,15,478,2023-06-05
CC-MAIN-2023-40,1k,331,16,6,70,35,0,13,529,2023-10-02
CC-MAIN-2023-50,1k,307,19,8,74,35,0,14,543,2023-12-11
CC-MAIN-2024-10,1k,315,19,11,73,39,0,14,529,2024-03-04
CC-MAIN-2024-18,1k,315,17,11,75,40,0,13,529,2024-04-29
CC-MAIN-2024-22,1k,321,19,10,72,41,0,13,524,2024-05-27
CC-MAIN-2024-26,1k,313,21,11,76,41,0,12,526,2024-06-24
CC-MAIN-2024-30,1k,318,22,15,71,44,0,11,519,2024-07-22
CC-MAIN-2024-33,1k,326,23,11,68,42,0,11,519,2024-08-12
CC-MAIN-2024-38,1k,323,19,11,70,42,0,12,523,2024-09-16
CC-MAIN-2024-42,1k,324,22,14,68,43,0,10,519,2024-10-14
CC-MAIN-2024-46,1k,322,23,13,70,43,0,11,518,2024-11-11
CC-MAIN-2024-51,1k,323,40,12,71,39,0,11,504,2024-12-16
CC-MAIN-2025-05,1k,311,26,12,75,43,0,10,523,2025-01-27
CC-MAIN-2025-08,1k,324,27,12,64,44,0,9,520,2025-02-17
CC-MAIN-2025-13,1k,330,25,12,68,41,0,9,515,2025-03-24
CC-MAIN-2025-18,1k,319,26,11,75,43,0,9,517,2025-04-28
CC-MAIN-2025-21,1k,321,28,12,71,38,0,10,520,2025-05-19
CC-MAIN-2025-26,1k,336,22,13,72,38,0,10,509,2025-06-23
CC-MAIN-2025-30,1k,325,26,16,74,37,0,10,512,2025-07-21
CC-MAIN-2025-33,1k,324,32,15,77,41,0,9,502,2025-08-11
CC-MAIN-2025-38,1k,322,29,16,76,40,0,9,508,2025-09-15
CC-MAIN-2016-36,10k,5268,62,19,521,1233,207,161,2529,2016-09-05
CC-MAIN-2017-09,10k,3910,103,23,568,1779,249,202,3166,2017-02-27
CC-MAIN-2017-34,10k,4215,57,19,458,3121,91,131,1908,2017-08-21
CC-MAIN-2018-09,10k,4078,91,30,530,3065,104,155,1947,2018-02-26
CC-MAIN-2018-34,10k,3522,101,26,633,3407,86,183,2042,2018-08-20
CC-MAIN-2019-09,10k,3863,90,40,541,3203,82,148,2033,2019-02-25
CC-MAIN-2019-35,10k,4271,78,31,491,2879,87,145,2018,2019-08-26
CC-MAIN-2020-05,10k,3814,106,29,664,127,276,254,4730,2020-01-27
CC-MAIN-2020-10,10k,3636,110,30,731,139,279,266,4809,2020-03-02
CC-MAIN-2020-16,10k,3653,127,36,698,128,292,258,4808,2020-04-13
CC-MAIN-2020-24,10k,3584,122,31,689,120,298,268,4888,2020-06-08
CC-MAIN-2020-29,10k,3607,120,27,699,127,283,257,4880,2020-07-13
CC-MAIN-2020-34,10k,3527,126,33,691,135,307,248,4933,2020-08-17
CC-MAIN-2020-40,10k,3526,129,35,693,137,300,249,4931,2020-09-28
CC-MAIN-2020-45,10k,3485,128,26,710,139,315,251,4946,2020-11-02
CC-MAIN-2020-50,10k,3508,136,32,699,130,313,251,4931,2020-12-07
CC-MAIN-2021-04,10k,3481,132,33,691,135,331,243,4954,2021-01-25
CC-MAIN-2021-10,10k,3495,151,26,686,148,320,239,4935,2021-03-08
CC-MAIN-2021-17,10k,3468,157,33,690,149,336,232,4935,2021-04-26
CC-MAIN-2021-21,10k,3399,129,39,703,159,341,244,4986,2021-05-24
CC-MAIN-2021-25,10k,3450,155,27,683,161,349,239,4936,2021-06-21
CC-MAIN-2021-31,10k,3553,137,43,684,358,0,239,4986,2021-08-02
CC-MAIN-2021-39,10k,3488,173,43,707,365,0,243,4981,2021-09-27
CC-MAIN-2021-43,10k,3647,150,46,712,363,0,238,4844,2021-10-25
CC-MAIN-2021-49,10k,3465,160,36,717,319,0,252,5051,2021-12-06
CC-MAIN-2022-05,10k,3611,111,38,689,356,0,243,4952,2022-01-31
CC-MAIN-2022-21,10k,3523,98,47,700,378,0,225,5029,2022-05-23
CC-MAIN-2022-27,10k,3488,147,59,701,358,0,234,5013,2022-07-04
CC-MAIN-2022-33,10k,3812,133,72,680,405,0,216,4682,2022-08-15
CC-MAIN-2022-40,10k,3760,115,62,639,415,0,216,4793,2022-10-03
CC-MAIN-2022-49,10k,3701,133,55,678,383,0,218,4832,2022-12-05
CC-MAIN-2023-06,10k,3843,131,58,631,372,0,218,4747,2023-02-06
CC-MAIN-2023-14,10k,3746,157,53,642,339,0,229,4834,2023-04-03
CC-MAIN-2023-23,10k,3825,152,57,654,394,0,224,4694,2023-06-05
CC-MAIN-2023-40,10k,3566,188,57,681,362,0,212,4934,2023-10-02
CC-MAIN-2023-50,10k,3324,206,59,712,353,0,208,5138,2023-12-11
CC-MAIN-2024-10,10k,3363,211,66,677,356,0,210,5117,2024-03-04
CC-MAIN-2024-18,10k,3378,209,75,670,358,0,208,5102,2024-04-29
CC-MAIN-2024-22,10k,3290,218,74,702,367,0,221,5128,2024-05-27
CC-MAIN-2024-26,10k,3308,216,78,677,352,0,226,5143,2024-06-24
CC-MAIN-2024-30,10k,3327,290,92,667,357,0,215,5052,2024-07-22
CC-MAIN-2024-33,10k,3401,300,79,637,358,0,211,5014,2024-08-12
CC-MAIN-2024-38,10k,3374,280,89,642,352,0,218,5045,2024-09-16
CC-MAIN-2024-42,10k,3397,282,85,640,363,0,208,5025,2024-10-14
CC-MAIN-2024-46,10k,3409,282,91,652,349,0,203,5014,2024-11-11
CC-MAIN-2024-51,10k,3399,407,90,631,348,0,208,4917,2024-12-16
CC-MAIN-2025-05,10k,3371,313,83,648,347,0,204,5034,2025-01-27
CC-MAIN-2025-08,10k,3370,345,91,628,369,0,195,5002,2025-02-17
CC-MAIN-2025-13,10k,3416,269,94,636,359,0,204,5022,2025-03-24
CC-MAIN-2025-18,10k,3278,270,106,702,360,0,198,5086,2025-04-28
CC-MAIN-2025-21,10k,3336,283,104,685,350,0,192,5050,2025-05-19
CC-MAIN-2025-26,10k,3405,269,104,664,347,0,197,5014,2025-06-23
CC-MAIN-2025-30,10k,3342,328,110,659,359,0,195,5007,2025-07-21
CC-MAIN-2025-33,10k,3335,349,116,651,364,0,190,4995,2025-08-11
CC-MAIN-2025-38,10k,3325,347,105,665,368,0,195,4995,2025-09-15
CC-MAIN-2016-36,50k,29517,220,84,2746,4783,818,841,10991,2016-09-05
CC-MAIN-2017-09,50k,22578,353,116,2929,8064,971,1022,13967,2017-02-27
CC-MAIN-2017-34,50k,24436,204,71,2320,12915,408,722,8924,2017-08-21
CC-MAIN-2018-09,50k,23837,343,101,2668,12344,495,792,9420,2018-02-26
CC-MAIN-2018-34,50k,20319,454,128,3025,14726,486,908,9954,2018-08-20
CC-MAIN-2019-09,50k,21928,413,140,2769,13582,454,802,9912,2019-02-25
CC-MAIN-2019-35,50k,25329,378,129,2412,10719,435,772,9826,2019-08-26
CC-MAIN-2020-05,50k,21604,521,118,3364,641,1339,1288,21125,2020-01-27
CC-MAIN-2020-10,50k,20757,557,133,3561,661,1412,1325,21594,2020-03-02
CC-MAIN-2020-16,50k,20714,604,154,3484,618,1454,1341,21631,2020-04-13
CC-MAIN-2020-24,50k,20326,593,134,3442,643,1473,1351,22038,2020-06-08
CC-MAIN-2020-29,50k,20199,617,134,3487,627,1473,1340,22123,2020-07-13
CC-MAIN-2020-34,50k,19869,632,134,3504,667,1516,1339,22339,2020-08-17
CC-MAIN-2020-40,50k,19801,643,145,3519,657,1483,1356,22396,2020-09-28
CC-MAIN-2020-45,50k,19699,605,128,3546,647,1547,1355,22473,2020-11-02
CC-MAIN-2020-50,50k,19764,643,153,3493,620,1538,1350,22439,2020-12-07
CC-MAIN-2021-04,50k,19573,642,144,3497,643,1560,1350,22591,2021-01-25
CC-MAIN-2021-10,50k,19511,693,146,3480,648,1584,1331,22607,2021-03-08
CC-MAIN-2021-17,50k,19293,756,201,3475,680,1566,1338,22691,2021-04-26
CC-MAIN-2021-21,50k,19074,672,160,3528,675,1622,1350,22919,2021-05-24
CC-MAIN-2021-25,50k,19155,769,137,3485,707,1606,1326,22815,2021-06-21
CC-MAIN-2021-31,50k,19755,755,178,3562,1525,0,1344,22881,2021-08-02
CC-MAIN-2021-39,50k,19359,827,169,3662,1620,0,1343,23020,2021-09-27
CC-MAIN-2021-43,50k,20596,791,187,3565,1641,0,1294,21926,2021-10-25
CC-MAIN-2021-49,50k,19144,852,168,3691,1493,0,1357,23295,2021-12-06
CC-MAIN-2022-05,50k,19997,596,124,3499,1556,0,1316,22912,2022-01-31
CC-MAIN-2022-21,50k,19511,564,226,3564,1648,0,1289,23198,2022-05-23
CC-MAIN-2022-27,50k,19263,794,271,3575,1598,0,1277,23222,2022-07-04
CC-MAIN-2022-33,50k,21256,720,302,3541,1784,0,1199,21198,2022-08-15
CC-MAIN-2022-40,50k,20612,619,293,3387,1690,0,1235,22164,2022-10-03
CC-MAIN-2022-49,50k,20130,746,281,3545,1725,0,1272,22301,2022-12-05
CC-MAIN-2023-06,50k,20726,757,285,3393,1616,0,1256,21967,2023-02-06
CC-MAIN-2023-14,50k,20445,829,272,3422,1507,0,1251,22274,2023-04-03
CC-MAIN-2023-23,50k,20684,815,278,3443,1688,0,1234,21858,2023-06-05
CC-MAIN-2023-40,50k,19731,1002,289,3547,1610,0,1187,22634,2023-10-02
CC-MAIN-2023-50,50k,18293,1153,303,3678,1657,0,1188,23728,2023-12-11
CC-MAIN-2024-10,50k,18266,1204,430,3643,1628,0,1174,23655,2024-03-04
CC-MAIN-2024-18,50k,18608,1182,428,3476,1600,0,1151,23555,2024-04-29
CC-MAIN-2024-22,50k,18187,1231,428,3653,1628,0,1177,23696,2024-05-27
CC-MAIN-2024-26,50k,18247,1233,484,3544,1591,0,1168,23733,2024-06-24
CC-MAIN-2024-30,50k,18308,1558,497,3527,1586,0,1124,23400,2024-07-22
CC-MAIN-2024-33,50k,18650,1594,496,3406,1587,0,1104,23163,2024-08-12
CC-MAIN-2024-38,50k,18563,1631,491,3412,1597,0,1116,23190,2024-09-16
CC-MAIN-2024-42,50k,18633,1559,476,3401,1610,0,1078,23243,2024-10-14
CC-MAIN-2024-46,50k,18730,1561,460,3386,1597,0,1078,23188,2024-11-11
CC-MAIN-2024-51,50k,18737,1969,474,3391,1558,0,1067,22804,2024-12-16
CC-MAIN-2025-05,50k,18638,1705,458,3451,1628,0,1046,23074,2025-01-27
CC-MAIN-2025-08,50k,18449,1818,493,3484,1691,0,1030,23035,2025-02-17
CC-MAIN-2025-13,50k,18740,1340,516,3409,1670,0,1046,23279,2025-03-24
CC-MAIN-2025-18,50k,18328,1450,521,3591,1679,0,1012,23419,2025-04-28
CC-MAIN-2025-21,50k,18504,1542,536,3500,1630,0,992,23296,2025-05-19
CC-MAIN-2025-26,50k,18690,1496,549,3466,1644,0,1039,23116,2025-06-23
CC-MAIN-2025-30,50k,18585,1749,550,3383,1642,0,1039,23052,2025-07-21
CC-MAIN-2025-33,50k,18716,1789,555,3324,1627,0,1025,22964,2025-08-11
CC-MAIN-2025-38,50k,18592,1754,538,3379,1716,0,1020,23001,2025-09-15
CC-MAIN-2016-36,100k,61096,393,165,5835,8592,1552,1750,20617,2016-09-05
CC-MAIN-2017-09,100k,48090,643,225,6184,14835,1847,2053,26123,2017-02-27
CC-MAIN-2017-34,100k,52620,334,147,4729,22631,773,1493,17273,2017-08-21
CC-MAIN-2018-09,100k,50642,587,225,5686,21898,920,1607,18435,2018-02-26
CC-MAIN-2018-34,100k,43022,843,279,6466,27039,932,1885,19534,2018-08-20
CC-MAIN-2019-09,100k,45687,785,295,6050,24971,898,1681,19633,2019-02-25
CC-MAIN-2019-35,100k,53837,711,259,5260,18070,894,1592,19377,2019-08-26
CC-MAIN-2020-05,100k,45568,1005,246,7228,1254,2687,2666,39346,2020-01-27
CC-MAIN-2020-10,100k,43737,1131,264,7546,1311,2810,2743,40458,2020-03-02
CC-MAIN-2020-16,100k,43656,1212,307,7439,1238,2859,2760,40529,2020-04-13
CC-MAIN-2020-24,100k,42878,1189,238,7458,1261,2917,2774,41285,2020-06-08
CC-MAIN-2020-29,100k,42414,1141,247,7524,1222,2904,2872,41676,2020-07-13
CC-MAIN-2020-34,100k,41593,1210,249,7505,1272,3017,2896,42258,2020-08-17
CC-MAIN-2020-40,100k,41504,1225,260,7601,1239,2991,2877,42303,2020-09-28
